variable_name,units,comp_env,value,data_reference
rho,Js2_per_m5,heart,1050,known
C_par,m6_per_J,pulmonary,0.0309077e-8,to_be_identified
C_pvn,m6_per_J,pulmonary,0.60015e-8,to_be_identified
R_par,Js_per_m6,pulmonary,10.664e+6,Blanco_2013_Table_8
R_pvn,Js_per_m6,pulmonary,1.333e+6,Blanco_2013_Table_8
I_par,Js2_per_m6,pulmonary,1.0e-6,Blanco_2013_Table_8
I_pvn,Js2_per_m6,pulmonary,1.0e-6,Blanco_2013_Table_8
T,second,heart,1.0,defined_by_user
t_astart,second,heart,0.80,Liang_2009_Table_2
t_vstart,second,heart,0.0,Liang_2009_Table_2
T_ac,second,heart,0.17,Liang_2009_Table_2
T_ar,second,heart,0.17,Liang_2009_Table_2
T_vc,second,heart,0.34,Liang_2009_Table_2
T_vr,second,heart,0.15,Liang_2009_Table_2
E_ra_A,J_per_m6,heart,7.998e+6,Liang_2009_Table_2
E_ra_B,J_per_m6,heart,9.331e+6,Liang_2009_Table_2
E_rv_A,J_per_m6,heart,73.315e+6,Liang_2009_Table_2
E_rv_B,J_per_m6,heart,6.665e+6,Liang_2009_Table_2
E_la_A,J_per_m6,heart,9.331e+6,Liang_2009_Table_2
E_la_B,J_per_m6,heart,11.997e+6,Liang_2009_Table_2
E_lv_A,J_per_m6,heart,366.575e+6,Liang_2009_Table_2
E_lv_B,J_per_m6,heart,10.664e+6,Liang_2009_Table_2
q_ra_0,m3,heart,4.0e-6,Korakianitis_2006_Table_1
q_rv_0,m3,heart,10.0e-6,Korakianitis_2006_Table_1
q_la_0,m3,heart,4.0e-6,Korakianitis_2006_Table_1
q_lv_0,m3,heart,5.0e-6,Korakianitis_2006_Table_1
A_nn_trv,m2,heart,0.0008,Mynard_2012
A_nn_puv,m2,heart,0.00071,Mynard_2012
A_nn_miv,m2,heart,0.00077,Mynard_2012
A_nn_aov,m2,heart,0.00068,Mynard_2012
l_eff,metre,heart,0.01,to_be_identified
K_vo_trv,m3_per_Js,heart,0.3,Mynard_2012
K_vo_puv,m3_per_Js,heart,0.2,Mynard_2012
K_vo_miv,m3_per_Js,heart,0.3,Mynard_2012
K_vo_aov,m3_per_Js,heart,0.12,Mynard_2012
K_vc_trv,m3_per_Js,heart,0.4,Mynard_2012
K_vc_puv,m3_per_Js,heart,0.2,Mynard_2012
K_vc_miv,m3_per_Js,heart,0.4,Mynard_2012
K_vc_aov,m3_per_Js,heart,0.12,Mynard_2012
M_rg_trv,dimensionless,heart,0,Mynard_2012
M_rg_puv,dimensionless,heart,0,Mynard_2012
M_rg_miv,dimensionless,heart,0,Mynard_2012
M_rg_aov,dimensionless,heart,0,Mynard_2012
M_st_trv,dimensionless,heart,1,Mynard_2012
M_st_puv,dimensionless,heart,1,Mynard_2012
M_st_miv,dimensionless,heart,1,Mynard_2012
M_st_aov,dimensionless,heart,1,Mynard_2012
R_aortic_root,Js_per_m6,systemic,1.0e+6,to_be_identified
C_aortic_root,m6_per_J,systemic,1.0e-8,to_be_identified
I_aortic_root,Js2_per_m6,systemic,1.0e+4,to_be_identified
R_T_systemic,Js_per_m6,systemic,4.0e+8,to_be_identified
C_T_systemic,m6_per_J,systemic,1e-10,small_chosen
alpha_systemic,dimensionless,systemic,1.0,not_used
v_nom_systemic,m3_per_s,systemic,0.0,not_used
R_venous_svc,Js_per_m6,systemic,1.0e7,small_chosen
C_venous_svc,m6_per_J,systemic,1.0e-9,to_be_identified
I_venous_svc,Js2_per_m6,systemic,1.0e-3,small_chosen
